en,zh-cn,zh-tw,pos,description,,,,,,,,,,,,,,,,,,,,,
Zurich,苏黎世,蘇黎世,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Earthly Branch,地支,地支,noun,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands,福克兰群岛,福克蘭群島,noun,,,,,,,,,,,,,,,,,,,,,,
Holy See,梵蒂冈,梵蒂岡,noun,,,,,,,,,,,,,,,,,,,,,,
Korea (the Democratic People's Republic of),朝鲜（民主主义人民共和国）,朝鮮,noun,,,,,,,,,,,,,,,,,,,,,,
Korea (the Republic of),韩国（共和国）,韓國,noun,,,,,,,,,,,,,,,,,,,,,,
language pack,语言包,語言套件,noun,,,,,,,,,,,,,,,,,,,,,,
Lao,老挝,寮國,noun,,,,,,,,,,,,,,,,,,,,,,
Lao People's Democratic Republi,老挝人民民主共和国,寮國,noun,,,,,,,,,,,,,,,,,,,,,,
Laos,老挝,寮國,noun,,,,,,,,,,,,,,,,,,,,,,
LHI,罗豪岛,羅豪島,noun,,,,,,,,,,,,,,,,,,,,,,
Lome,洛美,洛梅,noun,,,,,,,,,,,,,,,,,,,,,,
Malvinas,马尔维纳斯,馬爾維納斯,noun,,,,,,,,,,,,,,,,,,,,,,
South Korean,韩国,韓國,noun,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,英国,英國,noun,,,,,,,,,,,,,,,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,大不列颠及北爱尔兰联合王国,大不列顛及北愛爾蘭聯合王國,noun,,,,,,,,,,,,,,,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,英国,英國,noun,,,,,,,,,,,,,,,,,,,,,,
United States,美国,美國,noun,,,,,,,,,,,,,,,,,,,,,,
United States of America,美国,美國,noun,,,,,,,,,,,,,,,,,,,,,,
